stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1107,-117.254799,54.310699,186.7792408845064,110.15417290663972,33.37516837244219,5032.83799178743,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-3.5544e-07,-1.0251279837928289e-06,1.0,0.8193,1.1121801194610086
5B.1108,-117.241501,54.310299,173.31177223687018,109.63130666850697,33.5001019938616,5069.958039606649,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.305e-07,3.631818161446191e-07,1.0,0.8229,1.564929100246968
5B.1109,-117.203171,54.317829,134.2256128963088,105.6536575099426,34.35131830131789,5387.341838798602,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.1456e-06,2.6686952305872456e-06,1.0,-0.0072,0.20085498504273414
5B.1111,-117.257698,54.314899,191.07684751905876,115.7665998897776,31.8525903329985,4682.983545125643,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-6.8747e-07,-1.427068914013927e-06,1.0,0.6151,0.9634098194253582
5B.1112,-117.25061,54.319149,183.3966075012533,123.72931125843843,29.167142145747025,4295.448981019213,5395.0,3316.8,2265.0,1.0,1.0,-1.0,1.0,3.8229e-08,-6.181746844937439e-07,1.0,0.6008,1.349277690514107
5B.1113,-117.2332,54.318699,160.54117208143637,120.40494219907274,30.358420074336834,4444.857823156484,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.0337e-06,1.4447329916715583e-06,1.0,0.5063,0.9071713132988816
5B.1114,-117.225998,54.315701,154.96687046925217,113.47244017346027,32.51428212017357,4816.393098522453,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.0792e-06,1.947114746307139e-06,1.0,0.3388,0.7102970118609782
5B.1116,-117.194099,54.321098,125.23836871290965,103.57803384812851,34.723887277614025,5584.757726855749,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.0491e-06,2.478355331434305e-06,1.0,0.172,0.35377570860151414
5B.1118,-117.2575,54.320999,193.70237740765964,125.99609696060878,28.30126665414573,4202.175246966548,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.0155e-06,-1.4542105454465172e-06,1.0,0.4084,0.951224022357312
5B.1119,-117.248901,54.325802,181.43604489579187,136.84784631572927,23.627446517997175,3835.110184610765,5395.0,3316.8,2265.0,1.0,1.0,-1.0,1.0,1.0152e-07,-2.4955185212648505e-07,1.0,0.6383,1.6989001271903919
5B.1120,-117.234001,54.3255,155.24370597702676,132.49679972600592,25.598800063743962,3967.887942334668,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2056e-06,1.491347372507208e-06,1.0,0.3781,0.8335286282112939
5B.1121,-117.2229,54.325699,140.2264417796018,126.0708943940855,28.271986073520775,4199.207304149099,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.7489e-06,2.2658307262195347e-06,1.0,0.226,0.5331443660187014
5B.1122,-117.201103,54.3256,122.94611279518125,110.48298171259354,33.295085625708836,5009.954599438234,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2376e-06,2.421447688918403e-06,1.0,0.2156,0.48339583840591505
5B.1123,-117.195198,54.331902,110.41234790297413,110.1657777929721,33.37236184561936,5032.024411936644,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,9.4949e-07,1.6473562989154128e-06,1.0,0.5838,0.8229502030034122
5B.1125,-117.283501,54.325802,229.54587088216957,118.88869632255042,30.869095405117584,4518.561200202657,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.1232e-06,-2.9468877881387498e-06,1.0,0.1152,0.49285060398200287
5B.1126,-117.2714,54.325699,217.47935823763999,127.4305573332192,27.732055439097643,4146.423719758313,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.9945e-06,-2.5648144881884805e-06,1.0,0.3622,0.6128964527033774
5B.1127,-117.259499,54.330101,206.4690621382601,142.84754342805138,20.726522650761876,3679.4684317198644,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.3331e-06,-1.2210758010805277e-06,1.0,0.5006,0.9738732051212001
5B.1128,-117.252502,54.332199,192.77546533854937,150.63961639388341,16.69737780923425,3519.450111826236,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-8.918e-07,-3.117103105284114e-07,1.0,0.6286,1.5033544803637209
5B.1129,-117.231003,54.3316,139.73498809948072,141.50073895508498,21.394527623959245,3711.8114942993134,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.5177e-06,1.570740002926857e-06,1.0,0.3333,0.6818174066008214
5B.1130,-117.221497,54.332901,124.05228720290202,134.47419333177746,24.717840600872353,3905.3362387480684,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.6511e-06,1.7808008493920767e-06,1.0,0.499,0.6869420791937446
5B.1131,-117.208801,54.334099,112.07294322866518,122.94306557801424,29.457519237056832,4329.370795487545,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2991e-06,1.5887024376155403e-06,1.0,0.5185,0.8476982709931555
5B.1132,-117.201797,54.337399,102.53403572249437,117.9677305559068,31.16888552605225,4565.2054643804895,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.4161e-07,8.956788115333904e-07,1.0,0.8234,1.1635481800043244
5B.1133,-117.186897,54.335701,102.16031902623976,105.78176825027938,34.32668859290185,5375.98547307107,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.7408e-07,9.345577939941093e-07,1.0,1.0386,1.1174907098902485
5B.1135,-117.277603,54.3307,233.53037808643384,129.24121449199015,26.99104130699468,4079.4417716546086,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.1045e-06,-2.2876472516131065e-06,1.0,0.4004,0.7169865592644209
5B.1136,-117.2668,54.3344,230.37247486890357,144.53275430587337,19.87805174994552,3641.0121631902553,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.7071e-06,-1.178659603184719e-06,1.0,0.5576,1.0128246712161193
5B.1138,-117.245003,54.336601,164.94907903756257,161.5864135528799,10.667095727520675,3365.2512486741707,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.9539e-07,5.646879789036923e-07,1.0,0.5753,0.9303695374314811
5B.1139,-117.230698,54.3368,123.02716309465629,149.15346563828436,17.485593704539937,3546.55182051765,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.1721e-06,1.1142262823282466e-06,1.0,0.5384,0.7985840517321325
5B.1140,-117.221397,54.340801,99.53448834465821,140.77888803312504,21.7487191479515,3729.748830500274,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.6221e-07,4.3830258061945853e-07,1.0,0.9153,1.4101306734480168
5B.1141,-117.21199,54.340801,97.07673826605114,129.50933520349724,26.879237146820564,4069.832433330429,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.4648e-07,3.1622142954618315e-07,1.0,1.2079,1.620633682904891
5B.1142,-117.193703,54.340698,94.88498994773587,111.66026106343811,32.99884470275391,4930.752195984103,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2178e-07,1.8758310980835395e-07,1.0,1.2582,1.8634037761149629
5B.1143,-117.288597,54.3372,255.25265030308458,123.60604795789345,29.21301098246366,4300.711857270938,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.3652e-06,-1.1505955101361752e-06,1.0,0.5352,1.112214322528463
5B.1146,-117.260399,54.343601,271.38118638855406,161.3943182583532,10.775737006042764,3367.300814558905,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.5013e-07,8.852431945510542e-07,1.0,-0.0058,0.9865835124011577
5B.1147,-117.252853,54.34013,219.82431430087027,168.72633588552176,6.57826778756027,3304.743815249324,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.844e-08,4.628890526325528e-07,1.0,0.8484,1.068113806543149
5B.1148,-117.241898,54.3409,124.7147381934511,168.3564680250324,6.792144422256874,3307.141902491576,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.1004e-07,6.302526309875499e-07,1.0,0.5154,0.44601727519700907
