stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1107,-117.254799,54.310699,196.81197212177437,113.37320482166426,32.18257150980073,5314.657771397356,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-7.507e-09,-5.5598612431231085e-09,1.0,1.2055,1.4758631821336523
5B.1108,-117.241501,54.310299,183.76002595450623,114.58543325394908,31.845450321708523,5224.644794687451,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.1235e-08,1.2379935389658429e-08,1.0,1.1945,1.2051635034430912
5B.1109,-117.203171,54.317829,141.99282950203937,115.43296786286086,31.6010344423913,5164.503923721316,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.967e-08,5.889887557420109e-08,1.0,0.0906,0.29625208405098685
5B.1111,-117.257698,54.314899,202.04955737505628,117.71796351209862,30.907238284037057,5012.644111118229,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.3988e-08,-1.1258264590359507e-08,1.0,1.0148,1.1271221607191768
5B.1112,-117.25061,54.319149,197.0298788548083,125.70994239965896,28.108228733186714,4575.014951598308,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-7.7428e-09,-4.5724952786473626e-09,1.0,1.4374,1.5804274505632312
5B.1113,-117.2332,54.318699,173.93080576029874,126.56855005614409,27.775651519534208,4535.002414265231,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.8031e-08,2.5221861775340464e-08,1.0,1.0121,0.9231098619332339
5B.1114,-117.225998,54.315701,166.21536790317643,120.86928400885218,29.87020664475912,4824.570952081765,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.008e-08,3.6737455614067106e-08,1.0,0.7591,0.7335921389404709
5B.1116,-117.194099,54.321098,131.52486559787187,113.89055574676908,32.040506731459075,5275.644083185684,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.9991e-08,6.000245479848579e-08,1.0,-0.0468,0.22674714680002836
5B.1118,-117.2575,54.320999,206.96248958568842,126.05747202069239,27.974314183942376,4558.677599951672,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.8836e-08,-1.4280685707454669e-08,1.0,0.9561,0.9765494276265876
5B.1119,-117.248901,54.325802,200.0155092072487,137.36565047711017,23.141389795096273,4118.8508377618455,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-8.5379e-09,-5.020186965873069e-09,1.0,1.4316,1.4944245000532201
